case_study,record_id,decision_name,hit_policy,usage_shapes
jBilling,jBilling::Ageing Step Config Validation::Decision_AgeingStepConfigValidation_Rule_2,Ageing Step Config Validation,FIRST,plain single comparison
jBilling,jBilling::Ageing Step Config Validation::Decision_AgeingStepConfigValidation_Rule_5,Ageing Step Config Validation,FIRST,plain single comparison
jBilling,jBilling::Currency Exchange Rate Source::Decision_CurrencyExchangeRateSource_Rule_1,Currency Exchange Rate Source,FIRST,plain single comparison
jBilling,jBilling::Currency Exchange Rate Source::Decision_CurrencyExchangeRateSource_Rule_2,Currency Exchange Rate Source,FIRST,plain single comparison
jBilling,jBilling::Currency Exchange Rate Source::Decision_CurrencyExchangeRateSource_Rule_3,Currency Exchange Rate Source,FIRST,plain single comparison
jBilling,jBilling::Order Period Already Invoiced::Decision_OrderPeriodAlreadyInvoiced_Rule_1,Order Period Already Invoiced,FIRST,plain single comparison
jBilling,jBilling::Order Period Already Invoiced::Decision_OrderPeriodAlreadyInvoiced_Rule_2,Order Period Already Invoiced,FIRST,plain single comparison
jBilling,jBilling::Order Period Already Invoiced::Decision_OrderPeriodAlreadyInvoiced_Rule_3,Order Period Already Invoiced,FIRST,cross-variable comparison
jBilling,jBilling::Order Period Already Invoiced::Decision_OrderPeriodAlreadyInvoiced_Rule_4,Order Period Already Invoiced,FIRST,cross-variable comparison
jBilling,jBilling::Order Date Range Valid::Decision_OrderDateRangeValid_Rule_1,Order Date Range Valid,FIRST,plain single comparison
jBilling,jBilling::Order Date Range Valid::Decision_OrderDateRangeValid_Rule_2,Order Date Range Valid,FIRST,plain single comparison
jBilling,jBilling::Order Date Range Valid::Decision_OrderDateRangeValid_Rule_3,Order Date Range Valid,FIRST,plain single comparison
jBilling,jBilling::Order Date Range Valid::Decision_OrderDateRangeValid_Rule_4,Order Date Range Valid,FIRST,cross-variable comparison
jBilling,jBilling::Order Date Range Valid::Decision_OrderDateRangeValid_Rule_5,Order Date Range Valid,FIRST,cross-variable comparison
jBilling,jBilling::Payment Outcome Resolution::Decision_PaymentOutcomeResolution_Rule_1,Payment Outcome Resolution,FIRST,plain single comparison
jBilling,jBilling::Payment Outcome Resolution::Decision_PaymentOutcomeResolution_Rule_2,Payment Outcome Resolution,FIRST,plain single comparison
jBilling,jBilling::Payment Balance Assignment::Decision_PaymentBalanceAssignment_Rule_1::via::Payment Outcome Resolution::Decision_PaymentOutcomeResolution_Rule_1,Payment Balance Assignment,FIRST,set-membership (IN)
jBilling,jBilling::Payment Balance Assignment::Decision_PaymentBalanceAssignment_Rule_1::via::Payment Outcome Resolution::Decision_PaymentOutcomeResolution_Rule_2,Payment Balance Assignment,FIRST,negation (NOT); set-membership (IN)
jBilling,jBilling::Payment Balance Assignment::Decision_PaymentBalanceAssignment_Rule_2,Payment Balance Assignment,FIRST,plain single comparison
jBilling,jBilling::Blacklist Filter Enabled::Decision_BlacklistFilterEnabled_Rule_1,Blacklist Filter Enabled,UNIQUE,plain single comparison
jBilling,jBilling::Blacklist Filter Enabled::Decision_BlacklistFilterEnabled_Rule_2,Blacklist Filter Enabled,UNIQUE,plain single comparison
jBilling,jBilling::Cycle Start Source::Decision_CycleStartSource_Rule_1,Cycle Start Source,FIRST,plain single comparison
jBilling,jBilling::Cycle Start Source::Decision_CycleStartSource_Rule_2,Cycle Start Source,FIRST,plain single comparison
jBilling,jBilling::Cycle Start Source::Decision_CycleStartSource_Rule_3,Cycle Start Source,FIRST,plain single comparison
jBilling,jBilling::Daily Pro-Rate Amount::Decision_DailyProRateAmount_Rule_3,Daily Pro-Rate Amount,FIRST,plain single comparison
jBilling,jBilling::Tax Calculation Needed::Decision_TaxCalculationNeeded_Rule_1,Tax Calculation Needed,FIRST,plain single comparison
jBilling,jBilling::Tax Calculation Needed::Decision_TaxCalculationNeeded_Rule_2,Tax Calculation Needed,FIRST,plain single comparison
jBilling,jBilling::Tax Calculation Needed::Decision_TaxCalculationNeeded_Rule_3,Tax Calculation Needed,FIRST,plain single comparison
jBilling,jBilling::Tax Calculation Needed::Decision_TaxCalculationNeeded_Rule_4,Tax Calculation Needed,FIRST,plain single comparison
jBilling,jBilling::Tax Calculation Mode::Decision_TaxCalculationMode_Rule_1,Tax Calculation Mode,UNIQUE,plain single comparison
jBilling,jBilling::Tax Calculation Mode::Decision_TaxCalculationMode_Rule_2,Tax Calculation Mode,UNIQUE,plain single comparison
